Año,Mes,Region,Regimen,Sector,Valor,% Variacion interanual
2017,05,Cataluña,Régimen general y minería del carbón,Total,"2.629,6","4,7"
2017,05,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","6,6"
2017,05,Cataluña,Régimen general y minería del carbón,Industria,"423,8","2,8"
2017,05,Cataluña,Régimen general y minería del carbón,Construcción,"124,3","8,5"
2017,05,Cataluña,Régimen general y minería del carbón,Servicios,"2.070,7","4,8"
2017,05,Cataluña,Régimen general y minería del carbón,No clasificables,"1,4",..
2017,04,Cataluña,Régimen general y minería del carbón,Total,"2.616,6","4,8"
2017,04,Cataluña,Régimen general y minería del carbón,Agricultura,"9,1","6,2"
2017,04,Cataluña,Régimen general y minería del carbón,Industria,"421,8","2,7"
2017,04,Cataluña,Régimen general y minería del carbón,Construcción,"123,0","8,9"
2017,04,Cataluña,Régimen general y minería del carbón,Servicios,"2.061,3","5,1"
2017,04,Cataluña,Régimen general y minería del carbón,No clasificables,"1,4",..
2017,03,Cataluña,Régimen general y minería del carbón,Total,"2.562,5","4,4"
2017,03,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","6,4"
2017,03,Cataluña,Régimen general y minería del carbón,Industria,"418,4","2,9"
2017,03,Cataluña,Régimen general y minería del carbón,Construcción,"122,0","10,5"
2017,03,Cataluña,Régimen general y minería del carbón,Servicios,"2.011,8","4,4"
2017,03,Cataluña,Régimen general y minería del carbón,No clasificables,"1,5",..
2017,02,Cataluña,Régimen general y minería del carbón,Total,"2.545,9","5,0"
2017,02,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","5,3"
2017,02,Cataluña,Régimen general y minería del carbón,Industria,"416,9","2,8"
2017,02,Cataluña,Régimen general y minería del carbón,Construcción,"120,1","9,3"
2017,02,Cataluña,Régimen general y minería del carbón,Servicios,"1.998,6","5,2"
2017,02,Cataluña,Régimen general y minería del carbón,No clasificables,"1,5",..
2017,01,Cataluña,Régimen general y minería del carbón,Total,"2.514,5","4,3"
2017,01,Cataluña,Régimen general y minería del carbón,Agricultura,"8,7","4,7"
2017,01,Cataluña,Régimen general y minería del carbón,Industria,"415,4","2,9"
2017,01,Cataluña,Régimen general y minería del carbón,Construcción,"117,7","9,1"
2017,01,Cataluña,Régimen general y minería del carbón,Servicios,"1.971,2","4,3"
2017,01,Cataluña,Régimen general y minería del carbón,No clasificables,"1,5",..
2016,12,Cataluña,Régimen general y minería del carbón,Total,"2.525,5","4,5"
2016,12,Cataluña,Régimen general y minería del carbón,Agricultura,"8,5","3,7"
2016,12,Cataluña,Régimen general y minería del carbón,Industria,"413,9","3,0"
2016,12,Cataluña,Régimen general y minería del carbón,Construcción,"114,4","9,4"
2016,12,Cataluña,Régimen general y minería del carbón,Servicios,"1.987,2","4,5"
2016,12,Cataluña,Régimen general y minería del carbón,No clasificables,"1,5",..
2016,11,Cataluña,Régimen general y minería del carbón,Total,"2.539,0","4,8"
2016,11,Cataluña,Régimen general y minería del carbón,Agricultura,"8,7","3,7"
2016,11,Cataluña,Régimen general y minería del carbón,Industria,"416,3","2,9"
2016,11,Cataluña,Régimen general y minería del carbón,Construcción,"118,6","9,0"
2016,11,Cataluña,Régimen general y minería del carbón,Servicios,"1.993,9","5,0"
2016,11,Cataluña,Régimen general y minería del carbón,No clasificables,"1,6",..
2016,10,Cataluña,Régimen general y minería del carbón,Total,"2.522,9","4,0"
2016,10,Cataluña,Régimen general y minería del carbón,Agricultura,"8,6","3,9"
2016,10,Cataluña,Régimen general y minería del carbón,Industria,"414,3","2,6"
2016,10,Cataluña,Régimen general y minería del carbón,Construcción,"115,5","7,5"
2016,10,Cataluña,Régimen general y minería del carbón,Servicios,"1.982,9","4,2"
2016,10,Cataluña,Régimen general y minería del carbón,No clasificables,"1,6",..
2016,09,Cataluña,Régimen general y minería del carbón,Total,"2.507,4","4,5"
2016,09,Cataluña,Régimen general y minería del carbón,Agricultura,"8,7","3,8"
2016,09,Cataluña,Régimen general y minería del carbón,Industria,"413,1","2,7"
2016,09,Cataluña,Régimen general y minería del carbón,Construcción,"113,6","8,0"
2016,09,Cataluña,Régimen general y minería del carbón,Servicios,"1.970,4","4,7"
2016,09,Cataluña,Régimen general y minería del carbón,No clasificables,"1,6",..
2016,08,Cataluña,Régimen general y minería del carbón,Total,"2.491,2","4,1"
2016,08,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","3,9"
2016,08,Cataluña,Régimen general y minería del carbón,Industria,"413,1","3,0"
2016,08,Cataluña,Régimen general y minería del carbón,Construcción,"111,5","7,2"
2016,08,Cataluña,Régimen general y minería del carbón,Servicios,"1.956,2","4,1"
2016,08,Cataluña,Régimen general y minería del carbón,No clasificables,"1,6",..
2016,07,Cataluña,Régimen general y minería del carbón,Total,"2.551,5","5,4"
2016,07,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","4,5"
2016,07,Cataluña,Régimen general y minería del carbón,Industria,"418,0","3,5"
2016,07,Cataluña,Régimen general y minería del carbón,Construcción,"115,0","7,8"
2016,07,Cataluña,Régimen general y minería del carbón,Servicios,"2.008,0","5,7"
2016,07,Cataluña,Régimen general y minería del carbón,No clasificables,"1,6",..
2016,06,Cataluña,Régimen general y minería del carbón,Total,"2.525,7","4,2"
2016,06,Cataluña,Régimen general y minería del carbón,Agricultura,"8,9","3,4"
2016,06,Cataluña,Régimen general y minería del carbón,Industria,"414,7","2,7"
2016,06,Cataluña,Régimen general y minería del carbón,Construcción,"115,0","7,2"
2016,06,Cataluña,Régimen general y minería del carbón,Servicios,"1.985,4","4,4"
2016,06,Cataluña,Régimen general y minería del carbón,No clasificables,"1,7",..
2016,05,Cataluña,Régimen general y minería del carbón,Total,"2.512,7","3,7"
2016,05,Cataluña,Régimen general y minería del carbón,Agricultura,"8,8","2,0"
2016,05,Cataluña,Régimen general y minería del carbón,Industria,"412,4","2,8"
2016,05,Cataluña,Régimen general y minería del carbón,Construcción,"114,5","6,8"
2016,05,Cataluña,Régimen general y minería del carbón,Servicios,"1.975,2","3,7"
2016,05,Cataluña,Régimen general y minería del carbón,No clasificables,"1,7",..
2016,04,Cataluña,Régimen general y minería del carbón,Total,"2.495,7","4,9"
2016,04,Cataluña,Régimen general y minería del carbón,Agricultura,"8,5","3,4"
2016,04,Cataluña,Régimen general y minería del carbón,Industria,"410,6","3,3"
2016,04,Cataluña,Régimen general y minería del carbón,Construcción,"112,9","7,0"
